2,5
1,5
3,5
1,6
4,6
2,6
4,7
1,7
3,7
1,8
4,8
3,8
2,9
1,9
4,9
1,10
2,10
4,10
4,11
2,11
1,11
2,12
4,12
1,12
3,13
1,13
2,13
4,14
2,14
1,14
1,15
4,15
5,15
1,16
4,16
3,16
2,17
11,17
1,17
12,18
4,18
11,18
18,19
4,19
11,19
1,20
15,20
4,20
1,21
4,21
7,21
5,22
2,22
4,22
3,23
4,23
20,23
1,24
21,24
4,24
2,25
21,25
3,25
20,26
10,26
7,26
2,27
4,27
7,27
2,28
3,28
11,28
1,29
3,29
2,29
7,30
28,30
12,30
2,31
4,31
1,31
8,32
3,32
20,32
11,33
2,33
31,33
18,34
3,34
31,34
11,35
4,35
7,35
3,36
2,36
1,36
4,37
2,37
12,37
20,38
36,38
18,38
4,39
3,39
1,39
36,40
2,40
4,40
7,41
2,41
21,41
7,42
3,42
2,42
4,43
9,43
2,43
2,44
21,44
1,44
1,45
20,45
2,45
36,46
1,46
34,46
4,47
7,47
18,47
5,48
36,48
2,48
2,49
20,49
3,49
46,50
4,50
47,50
14,51
48,51
3,51
51,52
34,52
47,52
4,53
18,53
21,53
19,54
14,54
2,54
3,55
2,55
18,55
1,56
12,56
4,56
34,57
9,57
2,57
2,58
5,58
44,58
44,59
3,59
11,59
11,60
4,60
2,60
1,61
18,61
4,61
3,62
45,62
51,62
7,63
18,63
4,63
3,64
2,64
15,64
1,65
4,65
11,65
40,66
11,66
2,66
7,67
19,67
26,67
2,68
1,68
60,68
4,69
7,69
11,69
4,70
19,70
28,70
2,71
9,71
18,71
2,72
1,72
3,72
3,73
26,73
4,73
1,74
11,74
19,74
4,75
19,75
2,75
1,76
20,76
3,76
4,77
75,77
5,77
48,78
31,78
1,78
13,79
7,79
35,79
48,80
11,80
49,80
3,81
4,81
8,81
7,82
3,82
4,82
41,83
52,83
37,83
4,84
22,84
8,84
18,85
2,85
31,85
27,86
2,86
56,86
2,87
1,87
36,87
2,88
5,88
1,88
4,89
3,89
31,89
1,90
2,90
67,90
26,91
12,91
2,91
2,92
36,92
3,92
3,93
47,93
60,93
4,94
19,94
51,94
3,95
1,95
2,95
12,96
1,96
11,96
2,97
7,97
91,97
32,98
2,98
1,98
19,99
59,99
36,99
7,100
12,100
19,100
12,101
3,101
29,101
59,102
1,102
46,102
18,103
98,103
4,103
1,104
2,104
49,104
